team,city,habitual_m,venue_m,log_tilt
DR Congo,Zapopan,281,1565,-0.1721
DR Congo,Guadalupe,281,497,-0.0289
DR Congo,Atlanta,281,320,-0.0052
Portugal,Mexico City,68,2240,-0.291
Portugal,Zapopan,68,1565,-0.2006
Portugal,Toronto,68,161,-0.0125
Portugal,Santa Clara,68,132,-0.0086
Portugal,Foxborough,68,88,-0.0027
Portugal,Vancouver,68,70,-0.0003
Portugal,Arlington,68,184,-0.0155
Portugal,Guadalupe,68,497,-0.0575
Portugal,Atlanta,68,320,-0.0338
Portugal,Kansas City,68,274,-0.0276
Uzbekistan,Mexico City,424,2240,-0.2433
Uzbekistan,Zapopan,424,1565,-0.1529
Uzbekistan,Guadalupe,424,497,-0.0098
Croatia,Mexico City,135,2240,-0.2821
Croatia,Zapopan,135,1565,-0.1916
Croatia,Toronto,135,161,-0.0035
Croatia,Arlington,135,184,-0.0066
Croatia,Guadalupe,135,497,-0.0485
Croatia,Atlanta,135,320,-0.0248
Croatia,Kansas City,135,274,-0.0186
England,Mexico City,25,2240,-0.2968
England,Zapopan,25,1565,-0.2064
England,Toronto,25,161,-0.0182
England,Inglewood,25,40,-0.002
England,Santa Clara,25,132,-0.0143
England,Foxborough,25,88,-0.0084
England,Vancouver,25,70,-0.006
England,Arlington,25,184,-0.0213
England,Guadalupe,25,497,-0.0632
England,Seattle,25,56,-0.0042
England,Atlanta,25,320,-0.0395
England,Kansas City,25,274,-0.0334
Ghana,Mexico City,33,2240,-0.2957
Ghana,Zapopan,33,1565,-0.2053
Ghana,Toronto,33,161,-0.0172
Ghana,Inglewood,33,40,-0.0009
Ghana,Santa Clara,33,132,-0.0133
Ghana,Foxborough,33,88,-0.0074
Ghana,Vancouver,33,70,-0.005
Ghana,Arlington,33,184,-0.0202
Ghana,Guadalupe,33,497,-0.0622
Ghana,Seattle,33,56,-0.0031
Ghana,Atlanta,33,320,-0.0385
Ghana,Kansas City,33,274,-0.0323
Panama,Mexico City,17,2240,-0.2979
Panama,Zapopan,17,1565,-0.2074
Panama,Toronto,17,161,-0.0193
Panama,Inglewood,17,40,-0.0031
Panama,Santa Clara,17,132,-0.0154
Panama,East Rutherford,17,24,-0.0009
Panama,Foxborough,17,88,-0.0095
Panama,Vancouver,17,70,-0.0071
Panama,Arlington,17,184,-0.0224
Panama,Guadalupe,17,497,-0.0643
Panama,Seattle,17,56,-0.0052
Panama,Atlanta,17,320,-0.0406
Panama,Kansas City,17,274,-0.0344
