team,player,caps,club,birth
Sweden,Ludwig Augustinsson,4,Copenhagen,1994-04-21
Sweden,Oscar Lewicki,10,Malmö FF,1992-07-14
Sweden,Emir Kujović,4,IFK Norrköping,1988-06-22
Sweden,John Guidetti,9,Celta Vigo,1992-04-15
Sweden,Jimmy Durmaz,32,Olympiacos,1989-03-22
Sweden,Erkan Zengin,20,Trabzonspor,1985-08-05
Sweden,Patrik Carlgren,1,AIK,1992-01-08
Portugal,Rui Patrício,45,Sporting CP,1988-02-15
Portugal,Bruno Alves,85,Fenerbahçe,1981-11-27
Portugal,Pepe,71,Real Madrid,1983-02-26
Portugal,José Fonte,12,Southampton,1983-12-22
Portugal,Raphaël Guerreiro,7,Lorient,1993-12-22
Portugal,Ricardo Carvalho,86,Monaco,1978-05-18
Portugal,Cristiano Ronaldo,126,Real Madrid,1985-02-05
Portugal,João Moutinho,84,Monaco,1986-09-08
Portugal,Eder,26,Lille,1987-12-22
Portugal,João Mário,11,Sporting CP,1993-01-19
Portugal,Vieirinha,22,VfL Wolfsburg,1986-01-24
Portugal,Anthony Lopes,4,Lyon,1990-10-01
Portugal,Danilo,12,Porto,1991-09-09
Portugal,William Carvalho,20,Sporting CP,1992-04-07
Portugal,André Gomes,8,Valencia,1993-07-30
Portugal,Renato Sanches,5,Benfica,1997-08-18
Portugal,Nani,96,Fenerbahçe,1986-11-17
Portugal,Rafa Silva,8,Braga,1993-05-17
Portugal,Eliseu,16,Benfica,1983-10-01
Portugal,Ricardo Quaresma,50,Beşiktaş,1983-09-26
Portugal,Cédric,11,Southampton,1991-08-31
Portugal,Eduardo,35,Dinamo Zagreb,1982-09-19
Portugal,Adrien Silva,9,Sporting CP,1989-03-15
Iceland,Hannes Þór Halldórsson,33,Bodø/Glimt,1984-04-27
Iceland,Birkir Már Sævarsson,57,Hammarby IF,1984-11-11
Iceland,Haukur Heiðar Hauksson,7,AIK,1991-09-01
Iceland,Hjörtur Hermannsson,3,IFK Göteborg,1995-02-08
Iceland,Sverrir Ingi Ingason,6,Lokeren,1993-08-05
Iceland,Ragnar Sigurðsson,56,Krasnodar,1986-06-19
Iceland,Jóhann Berg Guðmundsson,47,Charlton Athletic,1990-10-27
Iceland,Birkir Bjarnason,47,Basel,1988-05-27
Iceland,Kolbeinn Sigþórsson,39,Nantes,1990-03-14
Iceland,Gylfi Sigurðsson,39,Swansea City,1989-09-08
Iceland,Alfreð Finnbogason,34,FC Augsburg,1989-02-01
Iceland,Ögmundur Kristinsson,11,Hammarby IF,1989-06-19
Iceland,Ingvar Jónsson,5,Sandefjord,1989-10-18
Iceland,Kári Árnason,47,Malmö FF,1982-10-13
Iceland,Jón Daði Böðvarsson,21,1. FC Kaiserslautern,1992-05-25
Iceland,Rúnar Már Sigurjónsson,11,GIF Sundsvall,1990-06-18
Iceland,Aron Gunnarsson,59,Cardiff City,1989-04-22
Iceland,Theódór Elmar Bjarnason,27,AGF,1987-03-04
Iceland,Hörður Björgvin Magnússon,5,Cesena,1993-02-11
Iceland,Emil Hallfreðsson,54,Udinese,1984-06-29
Iceland,Arnór Ingvi Traustason,7,IFK Norrköping,1993-04-30
Iceland,Eiður Guðjohnsen,86,Molde,1978-09-15
Iceland,Ari Freyr Skúlason,38,OB,1987-05-14
Austria,Robert Almer,28,Austria Wien,1984-03-20
Austria,György Garics,41,Darmstadt 98,1984-03-08
Austria,Aleksandar Dragović,47,Dynamo Kyiv,1991-03-06
Austria,Martin Hinteregger,14,Borussia Mönchengladbach,1992-09-07
Austria,Christian Fuchs,75,Leicester City,1986-04-07
Austria,Stefan Ilsanker,16,RB Leipzig,1989-05-18
Austria,Marko Arnautović,52,Stoke City,1989-04-19
Austria,David Alaba,46,Bayern Munich,1992-06-24
Austria,Rubin Okotie,17,1860 Munich,1987-06-06
Austria,Zlatko Junuzović,48,Werder Bremen,1987-09-26
Austria,Martin Harnik,58,VfB Stuttgart,1987-06-10
Austria,Heinz Lindner,8,Eintracht Frankfurt,1990-07-17
Austria,Markus Suttner,16,Ingolstadt 04,1987-04-16
Austria,Julian Baumgartlinger,45,Mainz 05,1988-01-02
Austria,Sebastian Prödl,57,Watford,1987-06-21
Austria,Kevin Wimmer,3,Tottenham Hotspur,1992-11-15
Austria,Florian Klein,37,VfB Stuttgart,1986-11-17
Austria,Alessandro Schöpf,4,Schalke 04,1994-02-07
Austria,Lukas Hinterseer,10,Ingolstadt 04,1991-03-28
Austria,Marcel Sabitzer,18,RB Leipzig,1994-03-17
Austria,Marc Janko,54,Basel,1983-06-25
Austria,Jakob Jantscher,22,Luzern,1989-01-08
Austria,Ramazan Özcan,7,Ingolstadt 04,1984-06-28
Hungary,Gábor Király,103,Haladás,1976-04-01
Hungary,Ádám Lang,11,Videoton,1993-01-17
Hungary,Mihály Korhut,4,Debrecen,1988-12-01
Hungary,Tamás Kádár,30,Lech Poznań,1990-03-14
Hungary,Attila Fiola,15,Puskás Akadémia,1990-02-17
Hungary,Ákos Elek,38,Diósgyőri VTK,1988-07-21
Hungary,Balázs Dzsudzsák,78,Bursaspor,1986-12-23
Hungary,Ádám Nagy,8,Ferencváros,1995-06-17
Hungary,Ádám Szalai,32,Hannover 96,1987-12-09
Hungary,Zoltán Gera,89,Ferencváros,1979-04-22
Hungary,Krisztián Németh,24,Al-Gharafa,1989-01-05
Hungary,Dénes Dibusz,4,Ferencváros,1990-11-16
Hungary,Dániel Böde,12,Ferencváros,1986-10-24
Hungary,Gergő Lovrencsics,12,Lech Poznań,1988-09-01
Hungary,László Kleinheisler,5,Werder Bremen,1994-04-08
Hungary,Ádám Pintér,21,Ferencváros,1988-06-12
Hungary,Nemanja Nikolić,18,Legia Warsaw,1987-12-31
Hungary,Zoltán Stieber,12,1. FC Nürnberg,1988-10-16
Hungary,Tamás Priskin,56,Slovan Bratislava,1986-09-27
Hungary,Richárd Guzmics,14,Wisła Kraków,1987-04-16
Hungary,Barnabás Bese,1,MTK Budapest,1994-05-06
Hungary,Péter Gulácsi,3,RB Leipzig,1990-05-06
Hungary,Roland Juhász,91,Videoton,1983-07-01
